129	10.000000	2.000000
171	10.000000	4.000000
200	10.000000	10.000000
384	250.000000	0.000000
409	200.000000	11.000000
416	1000.000000	31.000000
672	100.000000	17.000000
705	50.000000	15.000000
865	10.000000	3.000000
896	250.000000	25.000000
922	250.000000	18.000000
928	500.000000	30.000000
929	10.000000	5.000000
960	250.000000	8.000000
963	500.000000	26.000000
984	1000.000000	37.000000
992	500.000000	20.000000
1056	10.000000	7.000000
1349	1000.000000	47.000000
1376	100.000000	1.000000
1377	50.000000	29.000000
1381	1000.000000	16.000000
1387	100.000000	13.000000
1409	50.000000	35.000000
1440	100.000000	23.000000
1441	50.000000	14.000000
1539	1000.000000	39.000000
1571	250.000000	21.000000
1603	1000.000000	27.000000
1635	1000.000000	34.000000
1664	1000.000000	44.000000
1667	1000.000000	6.000000
1715	1000.000000	8.000000
1728	250.000000	12.000000
1763	1000.000000	32.000000
1792	1000.000000	19.000000
